,date,open,close,high,low,volume,code
1992,2015-04-14,6.083,6.015,6.112,5.956,4120826.0,600050
1993,2015-04-15,5.976,5.995,6.19,5.898,5196364.0,600050
1994,2015-04-16,5.995,6.463,6.6,5.947,9136050.0,600050
1995,2015-04-17,6.541,6.892,7.097,6.395,10812518.0,600050
1996,2015-04-20,6.931,7.584,7.584,6.639,13790868.0,600050
1997,2015-04-21,7.799,7.799,8.082,7.224,13596386.0,600050
1998,2015-04-22,7.653,7.789,8.033,7.526,9480916.0,600050
1999,2015-04-23,7.74,8.569,8.569,7.662,9510216.0,600050
2000,2015-04-24,8.579,8.852,9.427,8.442,17216678.0,600050
2001,2015-04-27,8.686,9.739,9.739,8.676,15350058.0,600050
2002,2015-04-28,9.456,10.275,10.47,9.31,16441121.0,600050
2003,2015-04-29,10.129,9.71,10.129,9.524,9657352.0,600050
2004,2015-04-30,9.602,9.281,9.602,9.173,8861116.0,600050
2005,2015-05-04,9.115,9.69,10.08,8.988,10590801.0,600050
2006,2015-05-05,9.495,8.725,9.534,8.725,9150029.0,600050
2007,2015-05-06,8.696,8.774,9.144,8.491,8155478.0,600050
2008,2015-05-07,8.676,8.335,8.92,8.169,6210948.0,600050
2009,2015-05-08,8.442,8.481,8.569,8.14,6380156.0,600050
2010,2015-05-11,8.569,8.715,8.793,8.286,7453983.0,600050
2011,2015-05-12,8.735,8.988,9.047,8.608,8434977.0,600050
2012,2015-05-13,8.9,8.579,8.91,8.54,6977202.0,600050
2013,2015-05-14,8.676,8.637,8.881,8.579,5260371.0,600050
2014,2015-05-15,8.657,8.306,8.696,8.13,5591309.0,600050
2015,2015-05-18,8.13,8.023,8.306,7.965,4803933.0,600050
2016,2015-05-19,8.043,8.286,8.306,8.013,5580670.0,600050
2017,2015-05-20,8.316,8.247,8.54,8.15,7112015.0,600050
2018,2015-05-21,8.238,8.442,8.511,8.13,6532986.0,600050
2019,2015-05-22,8.472,8.793,8.822,8.345,9229958.0,600050
2020,2015-05-25,8.793,9.017,9.017,8.676,8730204.0,600050
2021,2015-05-26,9.066,8.91,9.105,8.725,7993649.0,600050
2022,2015-05-27,8.9,8.666,8.91,8.579,7093969.0,600050
2023,2015-05-28,8.676,8.754,9.359,8.559,13534986.0,600050
2024,2015-05-29,8.822,8.364,8.949,8.004,8044260.0,600050
2025,2015-06-01,8.238,8.627,8.657,8.189,5890096.0,600050
2026,2015-06-02,8.637,8.92,9.027,8.55,8360813.0,600050
2027,2015-06-03,8.969,8.832,9.017,8.696,6535263.0,600050
2028,2015-06-04,8.861,8.735,8.92,8.072,6109458.0,600050
2029,2015-06-05,8.822,8.978,9.076,8.696,9318222.0,600050
2030,2015-06-08,9.115,9.875,9.875,9.115,12332291.0,600050
2031,2015-06-09,10.168,10.031,10.402,9.602,13913112.0,600050
2032,2015-06-10,9.749,9.68,9.934,9.593,6896922.0,600050
2033,2015-06-11,9.612,9.476,9.7,9.261,6119472.0,600050
2034,2015-06-12,9.476,9.505,9.7,9.29,5511734.0,600050
2035,2015-06-15,9.602,9.037,9.651,8.988,6163096.0,600050
2036,2015-06-16,8.969,8.325,8.969,8.169,6855009.0,600050
2037,2015-06-17,8.325,8.637,8.705,8.267,4600253.0,600050
2038,2015-06-18,8.579,8.238,8.637,8.199,3667268.0,600050
2039,2015-06-19,8.043,7.467,8.247,7.448,4299511.0,600050
2040,2015-06-23,7.506,7.584,7.672,6.941,4765273.0,600050
2041,2015-06-24,7.662,8.004,8.062,7.604,6002138.0,600050
2042,2015-06-25,7.945,7.604,7.984,7.389,4555502.0,600050
2043,2015-06-26,7.311,6.844,7.497,6.844,4856201.0,600050
2044,2015-06-29,7.038,6.493,7.087,6.161,6216575.0,600050
2045,2015-06-30,6.434,7.146,7.146,6.337,6252128.0,600050
2046,2015-07-01,7.146,7.029,7.526,6.941,6493174.0,600050
2047,2015-07-02,7.068,6.941,7.311,6.619,5386851.0,600050
2048,2015-07-03,6.773,6.665,7.285,6.261,5566118.0,600050
2049,2015-07-06,7.335,7.108,7.335,6.803,7671093.0,600050
2050,2015-07-07,6.892,7.098,7.354,6.478,9172937.0,600050
2051,2015-07-08,6.429,6.449,7.079,6.389,9091023.0,600050
2052,2015-07-09,5.966,7.098,7.098,5.809,8658876.0,600050
2053,2015-07-10,7.069,7.728,7.797,6.842,9821331.0,600050
2054,2015-07-13,7.581,7.689,8.083,7.276,9631702.0,600050
2055,2015-07-14,7.433,7.177,7.659,7.088,5889437.0,600050
2056,2015-07-15,7.02,6.813,7.148,6.557,5241915.0,600050
2057,2015-07-16,6.813,6.813,7.039,6.557,2839801.0,600050
2058,2015-07-17,6.892,7.098,7.236,6.823,3636167.0,600050
2059,2015-07-20,7.088,7.0,7.138,6.901,3500902.0,600050
2060,2015-07-21,6.892,7.029,7.128,6.803,3379985.0,600050
2061,2015-07-22,6.951,6.892,7.0,6.793,3026889.0,600050
2062,2015-07-23,6.872,7.295,7.561,6.842,6590743.0,600050
2063,2015-07-24,7.216,7.049,7.502,6.99,5233494.0,600050
2064,2015-07-27,6.892,6.34,7.0,6.34,4356837.0,600050
2065,2015-07-28,6.133,5.986,6.291,5.72,4668570.0,600050
2066,2015-07-29,6.124,6.321,6.34,6.025,3110460.0,600050
2067,2015-07-30,6.252,6.074,6.35,6.005,2582273.0,600050
2068,2015-07-31,5.946,6.094,6.202,5.946,2024489.0,600050
2069,2015-08-03,6.025,6.173,6.193,5.956,2220341.0,600050
2070,2015-08-04,6.173,6.34,6.37,6.114,2019587.0,600050
2071,2015-08-05,6.301,6.163,6.33,6.114,1624404.0,600050
2072,2015-08-06,6.045,6.055,6.153,6.015,1006022.0,600050
2073,2015-08-07,6.124,6.183,6.271,6.074,1522747.0,600050
2074,2015-08-10,6.626,6.803,6.803,6.439,3152012.0,600050
2075,2015-08-11,7.059,6.921,7.197,6.823,6318850.0,600050
2076,2015-08-12,6.793,7.069,7.354,6.734,4869063.0,600050
2077,2015-08-13,7.01,7.079,7.157,6.783,3550411.0,600050
2078,2015-08-14,7.088,7.305,7.531,7.0,5690065.0,600050
2079,2015-08-17,7.177,7.315,7.433,7.02,4235448.0,600050
2080,2015-08-18,7.266,6.596,7.443,6.586,4103287.0,600050
2081,2015-08-19,6.429,7.256,7.256,6.429,7791872.0,600050
2082,2015-08-20,7.187,7.561,7.984,7.098,10982975.0,600050
2083,2015-08-21,7.472,7.236,7.807,6.892,7978886.0,600050
2084,2015-08-24,6.842,6.517,7.039,6.517,5276926.0,600050
2085,2015-08-25,5.897,5.868,6.242,5.868,3861920.0,600050
